source_file,frame_no,timestamp_epoch,tx,rx,bssid,frame_protocols,type_subtype_hex,phase,ap_identity,ssid,rsn_present,akm_suites,pairwise_cipher,pmf_capable,pmf_required,auth_alg,assoc_status_code,has_eapol,eapol_msg_num,eapol_replay_counter
track3_filtered_modified_authorized_only.pcapng,231,1781520239.212129000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,232,1781520239.314869000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,233,1781520239.417405000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,234,1781520239.521029000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,235,1781520239.622312000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,236,1781520239.726502000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,237,1781520239.830331000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,238,1781520239.929558000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,239,1781520239.953073000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,240,1781520240.031778000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,241,1781520240.134253000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,242,1781520240.238923000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,243,1781520240.261340000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,244,1781520240.342016000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,245,1781520240.444823000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,246,1781520240.543809000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,247,1781520240.569931000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,248,1781520240.653511000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,249,1781520240.672731000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
